Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Training Time (s)
Decision Tree,0.9972343048055303,0.7083425158286278,0.6194066247012753,6.355467991219754,0.14104501140443063,3.7362185667639247,8.000510931015015
Bagging Trees (deg=2),0.9763598148155592,0.845072899510713,1.8109194177140093,4.632065262247444,1.0941535515550058,2.784033542581862,579.8488659858704
Random Forest,0.9763552021100782,0.8450901152024681,1.8110960836416343,4.631807894676068,1.0941114490771984,2.783917311978488,13328.46336221695
