Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Training Time
Decision Tree,0.9983078124756305,0.7192932450746337,494.20598375812835,6601.467081136985,29.572515327102803,3159.7223380373134,0.0023708343505859375
Bagging Tree,0.9728854829645679,0.8577255390935811,1978.2660212145263,4699.779737327853,1075.6030374045183,2547.4345810049495,0.1224980354309082
Random Forest,0.9725356030481672,0.8579839631850609,1990.988670552328,4695.5095109059575,1087.3732174054062,2550.7482168551355,0.10095810890197754
Gradient Boosting,0.8959902520687502,0.8785117259694142,3874.545603715487,4342.913818437272,2117.4454248452607,2424.531783050589,0.04043221473693848
