Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Training Time
Linear Regression,0.883887896537022,0.8821430593048694,119.47156247972003,129.4754308474807,87.72353268847141,103.90941708422301,0.0007171630859375
Polynomial Regression (deg=2),0.984952831706616,0.9672675055786766,43.00839010952493,68.23376482981386,28.439150125038232,47.03975661459981,0.001007080078125
SVR,0.015101877759964077,-0.0702477567750408,347.9536943418534,390.16826839383504,245.9155346540986,298.8612361706738,0.0007071495056152344
Decision Tree,0.9999199327895909,0.9390807855006011,3.137279025690793,93.08654910888039,0.3937007874015748,52.368750000000006,0.0006110668182373047
