Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Training Time (s)
Linear Regression,0.7095942558620953,0.7093231834432274,6.347113866063752,6.344774198129297,4.288994516472302,4.288438131048797,0.4140298366546631
Polynomial Regression (deg=2),0.7602327018303363,0.7608371056591685,5.7672484780455475,5.755166247225478,3.7793873050225923,3.7747450474003212,12.81688904762268
Decision Tree,0.9972343048055303,0.7083425158286278,0.6194066247012753,6.355467991219754,0.14104501140443063,3.7362185667639247,8.393399953842163
